"AG":"Aargau"
"AR":"Appenzell A.Rh."
"AI":"Appenzell I.Rh."
"BL":"Basel-Landschaft"
"BS":"Basel-Stadt"
"BE":"Bern"
"FR":"Freiburg"
"GE":"Genf"
"GL":"Glarus"
"GR":"Graubünden"
"JU":"Jura"
"LU":"Luzern"
"NE":"Neuenburg"
"NW":"Nidwalden"
"OW":"Obwalden"
"SH":"Schaffhausen"
"SZ":"Schwyz"
"SO":"Solothurn"
"SG":"St. Gallen"
"TI":"Tessin"
"TG":"Thurgau"
"UR":"Uri"
"VD":"Waadt"
"VS":"Wallis"
"ZG":"Zug"
"ZH":"Zürich"
